json_file	key	lang	old_value	new_value
domica.json	domicaPageTitle	eng	Domica Cave	Domica
domica.json	domicaParagraph1	eng	Domica Cave is part of the more than 30 km long Domica–Baradla cave system, which extends across two countries and is intersected by the state border.\nIt was formed in light Wetterstein limestones in the southwestern part of the Silica Plateau by the erosive activity of the underground Styx River and the Domica Stream.	Domica Cave is part of the more than 30 km long Domica–Baradla cave system, which extends across two countries and is intersected by the state border.\nIt was formed in light Wetterstein limestones in the southwestern part of the Silica Plateau by the erosive activity of the underground Styx and Domický Brook.
domica.json	cap7	eng	Discoverer of Domica Cave, Ján Majko, in Old Domica, 1932	Discoverer of Domica Cave, Ján Majko in Old Domica, 1932
gombasecka.json	gombaseckaPageTitle	eng	Gombasecká Cave	Gombasecká jaskyňa
gombasecka.json	gombaseckaParagraph1	eng	It is located in the western part of the Silica Plateau, approximately 2 km south of the village of Slavec. The cave was formed by the activity of the Čierny Potok stream in Mesozoic limestones of the Silica Plateau.\nTogether with the nearby Silica Ice Cave, it forms part of the extensive Silica–Gombasek underground hydrological system, most of which remains unexplored.	It is located in the western part of the Silica Plateau, approximately 2 km south of the village of Slavec. The cave was formed by the activity of the Čierny Potok stream in Mesozoic limestones of the Silická Plateau.\nTogether with the nearby Silica Ice Cave, it forms part of the extensive Silica–Gombasek underground hydrological system, most of which remains unexplored.
gombasecka.json	gombaseckaInfoOpenSinceValue	eng	1955.0	1955
beke.json	bekePageTitle	eng	Béke Cave	Jaskyňa Béke
dobsinska.json	dobsinskaPageTitle	eng	Dobšinská Ice Cave	Dobšinská ľadová jaskyňa
dobsinska.json	dobsinskaParagraph1	hun	Több mint 110 000 m³ jégtömegével a világ legnagyobb jégtömegű barlangjai közé tartozik. A Sztracenai-barlang kiterjedt rendszerének része. A Hnilec folyó földalatti vízfolyásai alakították ki a középső triász korszakbeli steinalmi és wettersteini mészkövekben, a Szlovák Paradicsom Nemzeti Park délnyugati részében.	Több mint 110 000 m³ jégtömegével a világ legnagyobb jégtömegű barlangjai közé tartozik. A Sztracenai-barlang kiterjedt rendszerének része. A Hnilec folyó földalatti vízfolyásai alakították ki a középső triász korszakbeli Steinalmi és Wettersteini mészkövekben, a Szlovák Paradicsom Nemzeti Park délnyugati részében.
jasovska.json	jasovskaPageTitle	eng	Jasovská Cave	Jasovská jaskyňa
jasovska.json	jasovskaParagraph1	eng	A labyrinth of halls, domes, and passages with a total length of 3,924 metres, located in the Jasov Rock and richly decorated with speleothems.\nThe cave was formed in Middle Triassic Gutenstein dolomites and light Steinalm limestones and dolomites, on the edge of the village of Jasov in the northeastern part of the Slovak Karst National Park.	A labyrinth of halls, domes, and passages with a total length of almost 4 km, located in the Jasovská Rock and richly decorated with speleothems.\nThe cave was formed in Middle Triassic Gutenstein dolomites and light Steinalm limestones and dolomites, on the edge of the village of Jasov in the northeastern part of the Slovak Karst National Park.
jasovska.json	jasovskaParagraph1	hun	A Jászói sziklában található, csaknem 4 km hosszú, gazdag cseppkődíszítéssel rendelkező folyosók, termek és járatok labirintusa, amely a középső triász kori gutensteini dolomitokban, valamint a világos színű steinalmi mészkövekben és dolomitokban alakult ki. Jászó település szélén, a Szlovák-karszt Nemzeti Park északkeleti részén található.	A Jászói sziklában található, csaknem 4 km hosszú, gazdag cseppkődíszítéssel rendelkező folyosók, termek és járatok labirintusa, amely a középső triász kori Gutensteini dolomitokban, valamint a világos színű Steinalmi mészkövekben és dolomitokban alakult ki. Jászó település szélén, a Szlovák-karszt Nemzeti Park északkeleti részén található.
baradla.json	baradlaPageTitle	eng	Baradla Cave	Jaskyňa Baradla
baradla.json	cap7	eng	Main riverbed in the section "Budai-Nagy-Alagút"	Main riverbed in the section Budai-Nagy-Alagút
kossuthova.json	kossuthovaPageTitle	eng	Kossuth Cave	Kossuthova jaskyňa
krasnohorska.json	krasnohorskaPageTitle	eng	Krásnohorská Cave	Krásnohorská jaskyňa
krasnohorska.json	krasnohorskaParagraph1	eng	An active river cave formed by the underground Buzgó stream and its tributaries, which drain the northern part of the largest plateau of the Slovak Karst.\nIt developed along a major tectonic fault in Gutenstein dolomites and partly in light grey Steinalm limestones, at the northern foothills of the Silica Plateau near the village of Krásnohorská Dlhá Lúka.	An active river cave formed by the underground Buzgó stream and its tributaries, which drain the northern part of the largest plateau of the Slovak Karst.\nIt was developed along a major tectonic fault in Gutenstein dolomites and partly in light grey Steinalm limestones, at the northern foothills of the Silica Plateau near Krásnohorská Dlhá Lúka village.
krasnohorska.json	krasnohorskaParagraph1	hun	Aktív folyami barlang, amelyet a Buzgó földalatti folyó és mellékfolyói alakítottak ki. A Szlovák-Karszt legkiterjedtebb fennsíkának északi részéről vezeti el a vizet. A barlang a gutensteini dolomitokban, részben pedig a világosszürke steinalmi mészkövekben, jelentős tektonikai törésvonalán alakult ki. A Szilicei-fennsík északi lábánál található, Várhosszúrét községtől keletre helyezkedik el.	Aktív folyami barlang, amelyet a Buzgó földalatti folyó és mellékfolyói alakítottak ki. A Szlovák-Karszt legkiterjedtebb fennsíkának északi részéről vezeti el a vizet. A barlang a Gutensteini dolomitokban, részben pedig a világosszürke Steinalmi mészkövekben, jelentős tektonikai törésvonalán alakult ki. A Szilicei-fennsík északi lábánál található, Várhosszúrét községtől keletre helyezkedik el.
krasnohorska.json	krasnohorskaParagraph3	eng	After an initial section with little decoration, formed by a long fissure passage known as the Great Canyon, the cave opens into a system of eight massive domes.\nThese spaces feature valuable decoration, including unique eccentric helictites and coral-like formations coated with manganese.\nThe dominant feature of the cave is the Hall of Giants, home to the 34-metre-high Stalagmite of the Rožňava Speleologists, one of the largest speleothem formations in Europe.	After an initial section with little decoration, formed by a long fissure passage known as the Great Canyon, the cave opens into a system of eight massive domes.\nThese spaces feature valuable decoration, including unique eccentric helictites and coral-like formations coated with manganese.\nThe dominant feature of the cave is the Hall of Giants, home to the 34-metre-high Dripstone of Rožňava Cavers, one of the largest speleothem formations in Europe.
krasnohorska.json	krasnohorskaInfoStalagmiteHeightLabel	eng	Height of the stalagmite (largest in the temperate zone)	Height of the stalagnate (largest in the temperate zone)
krasnohorska.json	krasnohorskaInfoOpenSinceValue	eng	2004.0	2004
krasnohorska.json	cap1	eng	Stalagmite of the Rožňava Speleologists in the Hall of Giants	Dripstone of Rožňava Cavers in the Hall of Giants
meteor.json	meteorPageTitle	eng	Meteor Cave	Jaskyňa Meteor
meteor.json	meteorParagraph1	eng	The most important ponor cave of the Dolný vrch Plateau is located approximately 2 km northwest of the village of Bódvaszilas.\nIt was discovered in the summer of 1961 by a group of speleologists from Budapest led by György Dénes.	The most important sinkhole of Lower Hill Plateau is located approximately 2 km northwest of the village of Bódvaszilas.\nIt was discovered in the summer of 1961 by a group of speleologists from Budapest led by György Dénes.
meteor.json	cap1	eng	Hall of Titans, the largest space of the cave	Hall of Titans, the largest chamber of the cave
ochtinska.json	ochtinskaPageTitle	svk	Ochtinská aragonitová jaskyňa	Ochtinská aragonitová jaskyňa
ochtinska.json	ochtinskaPageTitle	eng	Ochtinská Aragonite Cave	Ochtinská aragonitová jaskyňa
ochtinska.json	ochtinskaPageTitle	hun	Ochtinai aragonitbarlang	Ochtinai-aragonit-barlang
ochtinska.json	ochtinskaParagraph1	eng	The most important cave of the Revúca Highlands impresses with its exceptionally diverse and rich decoration formed by aragonite. It is located on the northern slope of Hrádok Hill, between Štítnik and Jelšava. The cave developed within a lens of crystalline limestones and ankerites of Paleozoic age, formed by the corrosive action of percolating waters with a periodically stable underground water level.	The most important cave of the Revúca Highlands impresses with its exceptionally diverse and rich decoration formed by aragonite.\nIt is located on the northern slope of Hrádok Hill, between Štítnik and Jelšava.\nThe cave developed within a lens of crystalline limestones and ankerites of Paleozoic age, formed by the corrosive action of percolating waters with a periodically stable underground water level.
ochtinska.json	ochtinskaParagraph2	eng	The cave was discovered by chance at the end of 1954 by miners during the excavation of an adit as part of geological exploration for iron ore deposits at the Horný Hrádok site. It was opened to the public in 1972. The 230-metre-long tour route is accessed via an artificially excavated adit.	The cave was discovered at the end of 1954 by miners during the excavation of an adit as part of geological exploration for iron ore deposits at the Horný Hrádok.\nIt was opened to the public in 1972.\nThe 230-metre-long tour route is accessed via an artificially excavated adit.
ochtinska.json	ochtinskaParagraph3	eng	The decoration consists of three generations of aragonite. The oldest, kidney-shaped formations are about 140,000 years old; the most abundant and visually striking second generation dates to around 14,000 years, while the youngest is still forming today. Snow-white clusters and bush-like formations of aragonite stand out against a blue-grey marble background. This distinctive decoration is likely the result of unique conditions within the cave’s enclosed underground environment.	The decoration consists of three generations of aragonite. The oldest, kidney-shaped formations are about 140,000 years old; the most abundant and visually striking second generation dates to around 14,000 years, while the youngest is still forming today.\nSnow-white clusters and bush-like formations of aragonite stand out against a blue-grey marble background.\nThis distinctive decoration is likely the result of unique conditions within the cave’s enclosed underground environment.
ochtinska.json	ochtinskaInfoAgeValue	hun	121 000 – 138 000 év	121 000 – 138 000 rokov
ochtinska.json	aut1	eng	Pavol Staník	Pavol Staník
ochtinska.json	aut2	eng	Pavol Staník	Pavol Staník
ochtinska.json	aut3	eng	Pavol Staník	Pavol Staník
ochtinska.json	aut4	eng	Pavol Staník	Pavol Staník
ochtinska.json	aut5	eng	Pavol Staník	Pavol Staník
rakocziho.json	rakoczihoPageTitle	eng	Rákóczi Cave	Rákócziho jaskyňa
silicka.json	silickaPageTitle	eng	Silická Ice Cave	Silická ľadnica
silicka.json	silickaParagraph1	eng	The lowest-altitude ice cave in the temperate climate zone is located in the central part of the Silica Plateau, approximately 1 km west of the village of Silica.\nIt forms part of the extensive Silica–Gombasek cave system, most of which remains unexplored.	The lowest lying ice-filled cave in the temperate climate zone is located in the central part of the Silická Plateau, approximately 1 km west of the village of Silica.\nIt forms part of the extensive Silica–Gombasek cave system, most of which remains unexplored.
silicka.json	silickaInfoLowestAltitudeIceCaveWorldLabel	eng	Lowest-altitude ice cave in the world	The temperate zone`s lowest situated ice-filled cave
imrehovassa.json	imrehovassaPageTitle	eng	Imre Vass Cave	Jaskyňa Imreho Vassa
global.json	InfoLengthLabel	eng	Total cave length	Total length of the cave
global.json	InfoLengthLabel	hun	A barlang teljes hossza	Barlang teljes hossza
global.json	InfoTempLabel	hun	A levegő hőmérséklete	A levegő hőmérséglete
global.json	InfoDepthLabel	hun	Mélység (függőleges kiterjedés)	Mélység (függőleges távolság)
global.json	InfoCountLabel	svk	Počet sprístupnených aragonitových jaskýň na svete	Počet aragonitových jaskýň na svete (sprístupnených)
global.json	InfoCountLabel	eng	Number of accessible aragonite caves in the world	Number of aragonite caves in the world (open to the public)
global.json	InfoCountLabel	hun	A világon látogatható aragonitbarlangok száma	A világon található (látogatható) aragonitbarlangok száma
mapa.json	map1	svk	Najvýraznejšie sú riečne jaskyne vytvorené vodnými tokmi, napríklad jaskynný systém Domica–Baradla, Gombasecká jaskyňa a Krásnohorská jaskyňa. Hlboké korózne priepasti, ako Veľká Žomboj, Zvonivá priepasť či Obrovská priepasť, vznikli rozpúšťaním vápenca presakujúcou vodou v miestach tektonických zlomov. Svetovým unikátom je Ochtinská aragonitová jaskyňa, ktorá vznikla v ankeritoch.	Najvýraznejšie sú riečne jaskyne vytvorené vodnými tokmi, napríklad jaskynný systém Domica–Baradla, Gombasecká jaskyňa a Krásnohorská jaskyňa.\nHlboké korózne priepasti, ako Veľká Žomboj, Zvonivá priepasť či Obrovská priepasť, vznikli rozpúšťaním vápenca presakujúcou vodou v miestach tektonických zlomov.\nSvetovým unikátom je Ochtinská aragonitová jaskyňa, ktorá vznikla v ankeritoch.\n
mapa.json	map1	eng	The most prominent are river caves formed by flowing water, such as the Domica–Baradla cave system, Gombasek Cave, and Krásnohorská Cave. Deep corrosion shafts—such as Veľká Žomboj, Zvonivá Chasm, and Obrovská Chasm—were formed by the dissolution of limestone by percolating water along tectonic faults. A global rarity is the Ochtinská Aragonite Cave, formed in ankerite.	The most prominent are river caves formed by flowing water, such as the Domica–Baradla cave system, Gombasek Cave, and Krásnohorská Cave.\nDeep corrosion shafts—such as Veľká Žomboj, Zvonivá Chasm, and Obrovská Chasm—were formed by the dissolution of limestone by percolating water along tectonic faults.\nA global rarity is the Ochtinská Aragonite Cave, formed in ankerite.\n
mapa.json	map1	hun	Najvýraznejšie sú riečne jaskyne vytvorené vodnými tokmi, napríklad jaskynný systém Domica–Baradla, Gombasecká jaskyňa a Krásnohorská jaskyňa. Hlboké korózne priepasti, ako Veľká Žomboj, Zvonivá priepasť či Obrovská priepasť, vznikli rozpúšťaním vápenca presakujúcou vodou v miestach tektonických zlomov. Svetovým unikátom je Ochtinská aragonitová jaskyňa, ktorá vznikla v ankeritoch.	Najvýraznejšie sú riečne jaskyne vytvorené vodnými tokmi, napríklad jaskynný systém Domica–Baradla, Gombasecká jaskyňa a Krásnohorská jaskyňa.\nHlboké korózne priepasti, ako Veľká Žomboj, Zvonivá priepasť či Obrovská priepasť, vznikli rozpúšťaním vápenca presakujúcou vodou v miestach tektonických zlomov.\nSvetovým unikátom je Ochtinská aragonitová jaskyňa, ktorá vznikla v ankeritoch.\n
mapa.json	map2	svk	Mimoriadne bohatá je aj kvapľová výzdoba. Typické sú brčká v Gombaseckej jaskyni, sintrové štíty a bubny v jaskyni Domica či aragonitové kryštály v Ochtinskej aragonitovej jaskyni. V jaskyniach sa vyskytujú stalaktity, stalagmity, stĺpy, sintrové záclony, náteky, excentrické útvary a sintrové kaskády. Osobitným javom sú jaskyne s celoročnou ľadovou výplňou – Dobšinská ľadová jaskyňa a Silická ľadnica.	Mimoriadne bohatá je aj kvapľová výzdoba. Typické sú brčká v Gombaseckej jaskyni, sintrové štíty a bubny v jaskyni Domica či aragonitové kryštály v Ochtinskej aragonitovej jaskyni.\nV jaskyniach sa vyskytujú stalaktity, stalagmity, stĺpy, sintrové záclony, náteky, excentrické útvary a sintrové kaskády.\nOsobitným javom sú jaskyne s celoročnou ľadovou výplňou – Dobšinská ľadová jaskyňa a Silická ľadnica.
mapa.json	map2	eng	The caves are also exceptionally rich in speleothems. Typical features include soda straws in Gombasek Cave, flowstone shields and drums in Domica Cave, and aragonite crystals in the Ochtinská Aragonite Cave. Stalactites, stalagmites, columns, draperies, flowstone coatings, helictites, and sinter cascades are also common. A special phenomenon is represented by caves with year-round ice formations, such as the Dobšinská Ice Cave and Silica Ice Cave.	The caves are also exceptionally rich in speleothems. Typical features include soda straws in Gombasek Cave, flowstone shields and drums in Domica Cave, and aragonite crystals in the Ochtinská Aragonite Cave.\nStalactites, stalagmites, columns, draperies, flowstone coatings, helictites, and sinter cascades are also common.\nA special phenomenon is represented by caves with year-round ice formations, such as the Dobšinská Ice Cave and Silica Ice Cave.
mapa.json	map3	eng	Cave habitats are home to more than 500 species of true and facultative cave-dwelling animals. The area hosts endemic invertebrates found nowhere else. Bats represent another important group of cave fauna, with key hibernation sites in Domica Cave, Jasovská Cave, and the Dobšinská Ice Cave.	Cave habitats are home to more than 500 species of true and facultative cave-dwelling animals. The area hosts endemic invertebrates found nowhere else.\nBats represent another important group of cave fauna, with key hibernation sites in Domica Cave, Jasovská Cave, and the Dobšinská Ice Cave.
mapa.json	map3	hun	Jaskynné biotopy sú domovom viac než 500 druhov pravých i nepravých jaskynných živočíchov. Vyskytujú sa tu druhy endemických bezstavovcov, ktoré sú známe len z tohto územia. Vzácnou skupinou jaskynných živočíchov sú aj netopiere. Dôležitými zimoviskami sú najmä Domica, Jasovská jaskyňa a Dobšinská ľadová jaskyňa.	A barlangi élőhelyek több mint 500 fajnak adnak otthont, köztük igazi és nem igazi barlangi állatoknak. Itt élnek olyan endemikus gerinctelen fajok, amelyek csak erről a területről ismertek. A denevérek szintén a barlangi állatok ritka csoportját képezik. Fontos telelőhelyek elsősorban a Domica, a Jasovská-barlang és a Dobšinská-jégbarlang.
mapa.json	map4	svk	V Slovenskom krase sa nachádzajú jaskyne s pamiatkami dokumentujúcimi vývoj viacerých kultúr pravekého človeka. Mimoriadny význam majú najmä stopy po osídlení roľníkov z mladšej doby kamennej – ľudu bukovohorskej kultúry, doložené v jaskyni Domica, Ardovskej jaskyni a Silickej ľadnici. V mnohých ďalších jaskyniach boli objavené početné nálezy z neskorej doby bronzovej, doby železnej, halštatskej doby aj zo stredoveku. Charakteristickým prvkom sú jaskynné obetiská ľudu kyjatickej kultúry.	Jaskyne Slovenského krasu majú významné postavenie aj z hľadiska archeológie. Doklady osídlenia siahajú až do mladšej doby kamennej – napríklad bukovohorská kultúra je doložená v jaskyni Domica, Ardovskej jaskyni a Silickej ľadnici. Z ďalších období pochádzajú nálezy z doby bronzovej, vrátane jaskynných obetísk kyjatickej kultúry, z doby železnej aj zo stredoveku.
mapa.json	map4	eng	The Slovak Karst contains caves with archaeological evidence documenting the development of several prehistoric cultures. Particularly significant are traces of Neolithic farmers of the Bükk culture, identified in Domica Cave, Ardovská Cave, and Silica Ice Cave.Numerous finds from the Late Bronze Age, the Iron Age, the Hallstatt period, and the Middle Ages have also been discovered in many other caves. A characteristic feature is the presence of cave sanctuaries associated with the Kyjatice culture.	The caves of the Slovak Karst also hold significant importance from an archaeological perspective. Evidence of human settlement dates back to the Neolithic period—for example, the Bükk culture has been documented in Domica Cave, Ardovská Cave, and Silická Ice Cave. Finds from other periods include those from the Bronze Age, including cave sacrificial sites of the Kyjatice culture, as well as from the Iron Age and the Middle Ages.
mapa.json	map4	hun	V Slovenskom krase sa nachádzajú jaskyne s pamiatkami dokumentujúcimi vývoj viacerých kultúr pravekého človeka. Mimoriadny význam majú najmä stopy po osídlení roľníkov z mladšej doby kamennej – ľudu bukovohorskej kultúry, doložené v jaskyni Domica, Ardovskej jaskyni a Silickej ľadnici. V mnohých ďalších jaskyniach boli objavené početné nálezy z neskorej doby bronzovej, doby železnej, halštatskej doby aj zo stredoveku. Charakteristickým prvkom sú jaskynné obetiská ľudu kyjatickej kultúry.	A Szlovák-Karszt barlangjai régészeti szempontból is jelentős szerepet töltenek be. A településnyomok egészen a késő újkőkorig nyúlnak vissza – például a bükki kultúra jelenlétét a Domica-barlangban, az Ardóoi-barlangban és a Szilicei-jégbarlangban is igazolták. A későbbi korszakokból származnak a bronzkori leletek, beleértve a kiétei kultúra barlangi áldozati helyeit, valamint a vaskorból és a középkorból származó leleteket.
mapa.json	mapPageTitle	hun	A Szlovák és Aggteleki-karszt barlangjai	A Szlovák és Aggteleki-karszt barlangjai 
mapa.json	ochotnicka	svk	Ochtinská aragonitová jaskyňa	Ochtinská aragonitová jaskyňa
mapa.json	ochotnicka	eng	Ochtinská Aragonite Cave	Ochtinská aragonitová jaskyňa
mapa.json	ochotnicka	hun	Ochtinai aragonitbarlang	Ochtinai-aragonit-barlang
mapa.json	domica	eng	Domica Cave	Domica
mapa.json	gombasecka	svk	Gombasecká jaskyňa	Gombasecká jaskyňa
mapa.json	gombasecka	eng	Gombasek Cave	Gombasecká jaskyňa
mapa.json	jasovska	svk	Jasovská jaskyňa	Jasovská jaskyňa
mapa.json	jasovska	eng	Jasov Cave	Jasovská jaskyňa
mapa.json	krasnohorska	svk	Krásnohorská jaskyňa	Krásnohorská jaskyňa
mapa.json	krasnohorska	eng	Krásnohorská Cave	Krásnohorská jaskyňa
mapa.json	krasnohorska	hun	Krásnohorská-barlang	Buzgó-barlang
mapa.json	silicka	svk	Silická ľadnica	Silická ľadnica
mapa.json	silicka	eng	Silica Ice Cave	Silická ľadnica
mapa.json	silicka	hun	Szilicsei-jégbarlang	Szilicei-jégbarlang
mapa.json	baradla	eng	Baradla Cave	Jaskyňa Baradla
mapa.json	imreho	eng	Vass Imre Cave	Jaskyňa Imreho Vassa
mapa.json	rakocziho	eng	Rákóczi Cave	Rákócziho jaskyňa
mapa.json	beke	eng	Béke Cave	Jaskyňa Béke
mapa.json	kossuthova	eng	Kossuth Cave	Kossuthova jaskyňa
mapa.json	meteor	eng	Meteor Cave	Jaskyňa Meteor
translation.json	map1	svk	Slovenský kras je jedinečným príkladom dobre vyvinutého planinového krasu, ktorý v regióne strednej Európe nemá obdoby. Vo vápencoch a dolomitoch územia sa vyskytujú všetky druhy krasových javov, nájdeme tu početné škrapy, závrty, slepé doliny, tiesňavy, kaňony a viac ako 1400 jaskýň.	Najvýraznejšie sú riečne jaskyne vytvorené vodnými tokmi, napríklad jaskynný systém Domica–Baradla, Gombasecká jaskyňa a Krásnohorská jaskyňa.\nHlboké korózne priepasti, ako Veľká Žomboj, Zvonivá priepasť či Obrovská priepasť, vznikli rozpúšťaním vápenca presakujúcou vodou v miestach tektonických zlomov.\nSvetovým unikátom je Ochtinská aragonitová jaskyňa, ktorá vznikla v ankeritoch.\n
translation.json	map1	eng	The Slovak Karst is a unique example of a well-developed plateau karst, unmatched in the Central European region. In the limestones and dolomites of the area, all kinds of karst phenomena occur, including numerous karren fields, sinkholes, blind valleys, gorges, canyons, and more than 1,400 caves.	The most prominent are river caves formed by flowing water, such as the Domica–Baradla cave system, Gombasek Cave, and Krásnohorská Cave.\nDeep corrosion shafts—such as Veľká Žomboj, Zvonivá Chasm, and Obrovská Chasm—were formed by the dissolution of limestone by percolating water along tectonic faults.\nA global rarity is the Ochtinská Aragonite Cave, formed in ankerite.\n
translation.json	map1	hun	IDE MADARSKY PREKLAD 1	Najvýraznejšie sú riečne jaskyne vytvorené vodnými tokmi, napríklad jaskynný systém Domica–Baradla, Gombasecká jaskyňa a Krásnohorská jaskyňa.\nHlboké korózne priepasti, ako Veľká Žomboj, Zvonivá priepasť či Obrovská priepasť, vznikli rozpúšťaním vápenca presakujúcou vodou v miestach tektonických zlomov.\nSvetovým unikátom je Ochtinská aragonitová jaskyňa, ktorá vznikla v ankeritoch.\n
translation.json	map2	svk	Ich mimoriadna rozmanitosť, veľká koncentrácia javov na malom priestore a unikátnosť je ojedinelá aj v celosvetovom meradle.	Mimoriadne bohatá je aj kvapľová výzdoba. Typické sú brčká v Gombaseckej jaskyni, sintrové štíty a bubny v jaskyni Domica či aragonitové kryštály v Ochtinskej aragonitovej jaskyni.\nV jaskyniach sa vyskytujú stalaktity, stalagmity, stĺpy, sintrové záclony, náteky, excentrické útvary a sintrové kaskády.\nOsobitným javom sú jaskyne s celoročnou ľadovou výplňou – Dobšinská ľadová jaskyňa a Silická ľadnica.
translation.json	map2	eng	Their extraordinary diversity, high concentration of features in a small area, and uniqueness are exceptional even on a global scale.	The caves are also exceptionally rich in speleothems. Typical features include soda straws in Gombasek Cave, flowstone shields and drums in Domica Cave, and aragonite crystals in the Ochtinská Aragonite Cave.\nStalactites, stalagmites, columns, draperies, flowstone coatings, helictites, and sinter cascades are also common.\nA special phenomenon is represented by caves with year-round ice formations, such as the Dobšinská Ice Cave and Silica Ice Cave.
translation.json	map2	hun	IDE MADARSKY PREKLAD 2	Rendkívül gazdag a cseppkődíszítés is. Jellegzetesek a Gombaszögi-barlangban található szalmacseppkövek, a Domica-barlangban található cseppkőpajzsok és -dobok, valamint az Ochtinai-aragonit-barlang aragonitkristályai. A barlangokban függőcseppkövek, cseppkőoszlopok, cseppkőfüggönyök, cseppkőfolyások, excentrikus képződmények és cseppkőkaszkádok is előfordulnak. Különleges jelenséget képviselnek az egész évben jéggel teli barlangok – a Dobsinai-jégbarlang és a Szilicei-jégbarlang.
translation.json	map3	svk	Medzinárodné ocenenie jaskýň Slovenského a Aggteleckého krasu nás preto zaväzuje zachovávať, prezentovať a odovzdávať tieto jedinečné prírodné hodnoty ďalším generáciám.	Jaskynné biotopy sú domovom viac než 500 druhov pravých i nepravých jaskynných živočíchov. Vyskytujú sa tu druhy endemických bezstavovcov, ktoré sú známe len z tohto územia. Vzácnou skupinou jaskynných živočíchov sú aj netopiere. Dôležitými zimoviskami sú najmä Domica, Jasovská jaskyňa a Dobšinská ľadová jaskyňa.
translation.json	map3	eng	The international recognition of the caves of the Slovak and Aggtelek Karst therefore obliges us to preserve, present, and pass on these unique natural values to future generations.	Cave habitats are home to more than 500 species of true and facultative cave-dwelling animals. The area hosts endemic invertebrates found nowhere else.\nBats represent another important group of cave fauna, with key hibernation sites in Domica Cave, Jasovská Cave, and the Dobšinská Ice Cave.
translation.json	map3	hun	IDE MADARSKY PREKLAD 3	A barlangi élőhelyek több mint 500 fajnak adnak otthont, köztük igazi és nem igazi barlangi állatoknak. Itt élnek olyan endemikus gerinctelen fajok, amelyek csak erről a területről ismertek. A denevérek szintén a barlangi állatok ritka csoportját képezik. Fontos telelőhelyek elsősorban a Domica, a Jasovská-barlang és a Dobšinská-jégbarlang.
translation.json	mapPageTitle	hun	A Szlovák és Aggteleki-karszt barlangjai	A Szlovák és Aggteleki-karszt barlangjai 
translation.json	ochotnicka	svk	Ochtinská aragonitová jaskyňa	Ochtinská aragonitová jaskyňa
translation.json	ochotnicka	eng	Ochtinská Aragonite Cave	Ochtinská aragonitová jaskyňa
translation.json	ochotnicka	hun	Ochtinai aragonitbarlang	Ochtinai-aragonit-barlang
translation.json	domica	eng	Domica Cave	Domica
translation.json	gombasecka	svk	Gombasecká jaskyňa	Gombasecká jaskyňa
translation.json	gombasecka	eng	Gombasek Cave	Gombasecká jaskyňa
translation.json	jasovska	svk	Jasovská jaskyňa	Jasovská jaskyňa
translation.json	jasovska	eng	Jasov Cave	Jasovská jaskyňa
